Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
2,"JGB Derraik, WA Anderson, EA Connelly, YC Anderson","Rapid evidence summary on SARS-CoV-2 survivorship and disinfection, and a reusable PPE protocol using a double-hit process",2020,"MedRxiv","medrxiv.org","https://www.medrxiv.org/content/10.1101/2020.04.02.20051409v1.abstract","https://scholar.google.com/scholar?cites=2448187466243246313&as_sdt=2005&sciodt=0,5&hl=en",11,"2020-05-22 20:04:38","","","","",,,,,2,2.00,1,4,1,"… that any decontaminated PPE fit properly as new; at any sign of suboptimal fit, decontaminated gear to … Ultraviolet germicidal irradiation handbook UVGI for air and surface disinfection … A method to determine the available UV-C dose for the decontamination of filtering facepiece …"
0,"D Nogee, AJ Tomassoni","Covid-19 and the N95 respirator shortage: Closing the gap",2020,"Infection Control & Hospital Epidemiology","cambridge.org","https://www.cambridge.org/core/journals/infection-control-and-hospital-epidemiology/article/covid19-and-the-n95-respirator-shortage-closing-the-gap/00C6F711245BED3BC1E791E12F724C4D","",12,"2020-05-22 20:04:38","","","","",,,,,0,0.00,0,2,1,"… per unit surface area (Joules per square centimeter) for a period sufficient to decontaminate FFRs … will know how their mask has been cared for and how many decontamination cycles it … dosages of UVGI to effectively sterilize SARS-CoV-2 contaminated FFRs, UVGI provides a …"
0,"E Schnell, MJ Harriff, JE Yates, E Karamooz…","Homegrown Ultraviolet Germicidal Irradiation for Hospital-Based N95 Decontamination during the COVID-19 Pandemic",2020,"medRxiv","medrxiv.org","https://www.medrxiv.org/content/10.1101/2020.04.29.20085456v1.abstract","",13,"2020-05-22 20:04:38","","","","",,,,,0,0.00,0,5,1,"… We plan to decontaminate and re-use the N95 FFRs up to 10 times, as … A method to determine the available UV-C dose for the decontamination of filtering facepiece … Protection Devices During Public Health Emergencies: Appendix 1: Limited Study Evaluating UVGI- Treated FFR …"
0,"D Ozog, A Parks-Miller, I Kohli, AB Lyons…","The Importance of Fit-Testing in Decontamination of N95 Respirators: A Cautionary Note",2020,"Journal of the American …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0190962220308355","",14,"2020-05-22 20:04:38","","","","",,,,,0,0.00,0,5,1,"… irradiation: possible method for respirator disinfection to facilitate reuse during COVID-19 92 … Ultraviolet Germicidal Irradiation (UVGI) on N95 Respirator Filtration Performance and 102 … methods of decontamination of filtering facepiece N-95 respirators during the COVID-19 105 …"
2,"K O'Hearn, S Gertsman, R Webster, A Tsampalieros…","Efficacy and Safety of Disinfectants for Decontamination of N95 and SN95 Filtering Facepiece Respirators: A Systematic Review",2020,"","osf.io","https://osf.io/preprints/ct6m8/","https://scholar.google.com/scholar?cites=6300852010178500161&as_sdt=2005&sciodt=0,5&hl=en",15,"2020-05-22 20:04:38","","","","",,,,,2,2.00,0,5,1,"… disinfectants to decontaminate N95 FFRs … Effects of Ultraviolet Germicidal Irradiation (UVGI) on N95 Respirator Filtration Performance and Structural Integrity … MH, Grippin, A., Anwar, D. & Smith, T. Effects of relative humidity and spraying medium on UV decontamination of filters …"
2,"L Liao, W Xiao, M Zhao, X Yu, H Wang, Q Wang…","Can N95 Respirators Be Reused after Disinfection? How Many Times?",2020,"ACS …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acsnano.0c03597","https://scholar.google.com/scholar?cites=18048171782238966684&as_sdt=2005&sciodt=0,5&hl=en",16,"2020-05-22 20:04:38","","","","",,,,,2,2.00,0,7,1,"… Journal Logo. Can N95 Respirators Be Reused after Disinfection? How Many Times? Lei Liao Lei Liao. 4C Air, Inc., Sunnyvale, California 94089, United States. More by Lei Liao. Wang Xiao Wang Xiao. 4C Air, Inc., Sunnyvale, California 94089, United States …"
1,"ADP Price, Y Cui, L Liao, W Xiao, X Yu, H Wang…","Is the fit of N95 facial masks effected by disinfection? A study of heat and UV disinfection methods using the OSHA protocol fit test.",2020,"medRxiv","medrxiv.org","https://www.medrxiv.org/content/10.1101/2020.04.14.20062810v1.abstract","https://scholar.google.com/scholar?cites=1224199841754682167&as_sdt=2005&sciodt=0,5&hl=en",17,"2020-05-22 20:04:38","","","","",,,,,1,1.00,0,7,1,"… We will first outline the decontamination methods described in detail elsewhere and then go on to describe the methods for mask fit.12 Methods IRB EXEMPTION … DISINFECTION METHOD 2: UVGI … April 8, 2020 Is the fit of N95 facial masks effected by disinfection? Page 5 …"
7,"TM Brady, AL Strauch, CM Almaguer…","Transfer of bacteriophage MS2 and fluorescein from N95 filtering facepiece respirators to hands: Measuring fomite potential",2017,"… of occupational and …","oeh.tandfonline.com","https://oeh.tandfonline.com/doi/abs/10.1080/15459624.2017.1346799","https://scholar.google.com/scholar?cites=14816525609207186654&as_sdt=2005&sciodt=0,5&hl=en",18,"2020-05-22 20:04:38","","","","",,,,,7,2.33,2,4,3,"… The N95 3M 1860 model respirator (3M, St … [7] Fisher, E., S. Rengasamy, D. Viscusi, E. Vo, and R. Shaffer: Development of a test system to apply virus-containing particles to filtering facepiece respirators for the evaluation of decontamination procedures. Appl …"
0,"K O'Hearn, A Agarwal, K Choong, S Gertsman, N Nama…","Live Scoping Review of N95 and Surgical Facemask Decontamination and Reuse: A Scoping Review Protocol",2020,"","osf.io","https://osf.io/preprints/rpc27/","",19,"2020-05-22 20:04:38","","","","",,,,,0,0.00,0,6,1,"… mask|face shield|n95|n- 95|ffr|ffrs|filtering face)(reuse|decontaminate|sterilize|disinfect … Decontaminating N95 masks with Ultraviolet Germicidal Irradiation (UVGI) does not impair mask efficacy … Efficacy and Safety of Disinfectants for Decontamination of N95 and SN95 Filtering …"
1,"JD McNally, K O'Hearn, M Sampson, L Sikora","Ultraviolet Germicidal Irradiation (UVGI) for Facemask Personal Protective Equipment (PPE): Protocol for a Systematic Review",2020,"","osf.io","https://osf.io/preprints/238yh/","https://scholar.google.com/scholar?cites=12559831600698569210&as_sdt=2005&sciodt=0,5&hl=en",20,"2020-05-22 20:04:38","","","","",,,,,1,1.00,0,4,1,"… One method of addressing the issue of PPE shortage is to decontaminate and re-use PPE … The cumulative body of evidence regarding the application of UVGI for decontamination and reuse of FFR will be evaluated using the following domains: 1) Study quality, 2) Risk of …"
4,"JL Cadnum, DF Li, SN Redmond, AR John…","Effectiveness of Ultraviolet-C Light and a High-Level Disinfection Cabinet for Decontamination of N95 Respirators",2020,"Pathogens and …","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7192214/","https://scholar.google.com/scholar?cites=11708422610116270107&as_sdt=2005&sciodt=0,5&hl=en",21,"2020-05-22 20:04:38","HTML","","","",,,,,4,4.00,1,5,1,"… influenza preparedness study: use of energetic methods to decontaminate filtering facepiece respirators contaminated with H1N1 … https://absa.org/decontamination-and-reuse-of-n95-respirators- with … Effects of Ultraviolet Germicidal Irradiation (UVGI) on N95 Respirator Filtration …"
0,"AE Torres, AB Lyons, S Narla, I Kohli…","Ultraviolet-C and other methods of decontamination of filtering facepiece N-95 respirators during the COVID-19 pandemic",2020,"Photochemical & …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2020/pp/d0pp00131g","",22,"2020-05-22 20:04:38","","","","",,,,,0,0.00,0,5,1,"… 133 rapid emergence of many different UVGI devices and manufacturers … 148 viruses, fungi, and spores.27-29 Decontamination using H2O2 is typically carried out aerially either … 152 decontaminating hospital rooms, while leaving as little as 0-5% of pathogenic residua …"
0,"WX Lei Liao, M Zhao, X Yu, H Wang, Q Wang, S Chu…","Can N95 respirators be reused after disinfection? And for how many times?",,"medrxiv.org","","https://www.medrxiv.org/content/10.1101/2020.04.01.20050443v2.full.pdf","",23,"2020-05-22 20:04:38","PDF","","","",,,,,0,0.00,0,7,,"… are mostly in agreement with a NIOSH published report regarding the decontamination of whole … UVGI treatments damaged particular FFRs,35 whereas other reports show that UVGI cycling on … methods use precedents set by either SARS-CoV or general disinfection strategies …"
1,"A Prakash, HB Rao, P Nair, S Talwar, VA Kumar…","Sterilization of N95 respirators: The time for action is upon us!",2020,"Lung India","lungindia.com","http://www.lungindia.com/article.asp?issn=0970-2113;year=2020;volume=37;issue=3;spage=260;epage=262;aulast=Prakash","https://scholar.google.com/scholar?cites=9122684082777743741&as_sdt=2005&sciodt=0,5&hl=en",24,"2020-05-22 20:04:38","HTML","","","",,,,,1,1.00,0,6,1,"… UVGI method can provide effective re-sterilization of the surface, but possible … conditions; High penetration with homogenous effect, potentially providing uniform and reliable disinfection. Preliminary work to assess the decontamination capacity of gamma irradiation for parasites …"
0,"RM Gilbert, MJ Donzanti, DJ Minahan, J Shirazi…","Healthcare worker mask reuse in a global pandemic: Using idle resources to create an inexpensive, scalable, and accessible UV system for N95 sterilization",2020,"medRxiv","medrxiv.org","https://www.medrxiv.org/content/10.1101/2020.04.19.20070870v1.abstract","",25,"2020-05-22 20:04:38","","","","",,,,,0,0.00,0,5,1,"… www.fda.gov/news-events/press- announcements/coronavirus-covid-19-update-fda-issues- emergency-use-authorization- decontaminate-millions-n95 … N95 Filtering Facepiece Respirator Ultraviolet Germicidal Irradiation (UVGI) Process for Decontamination and Reuse …"
0,"JJ Lowe, KD Paladino, JD Farke, K Boulter, K Cawcutt…","UHS Process for Disinfection of N-95 Masks using UV Light Disinfection This process should only be used during crisis capacity management of Personal …",2020,"","datadistributing.com","https://datadistributing.com/wp-content/uploads/2020/04/RD-UVC-Disinfection-system-by-Data-Distributing-UHS-Sterilization-of-N95-masks.pdf","",26,"2020-05-22 20:04:38","PDF","","","",,,,,0,0.00,0,6,1,"… We plan to decontaminate and reuse the N95 masks up to 3 times … Smith, Angela L. Hewlett, Peter C. Iwen, Kendra K. Schmid & John J. Lowe (2017) Ultraviolet (UV)-reflective paint with ultraviolet germicidal irradiation (UVGI) improves decontamination of nosocomial …"
0,"KR Wigginton, PJ Arts, H Clack, WJ Fitzsimmons…","Validation of N95 filtering facepiece respirator decontamination methods available at a large university hospital",2020,"medRxiv","medrxiv.org","https://www.medrxiv.org/content/10.1101/2020.04.28.20084038v1.abstract","",27,"2020-05-22 20:04:38","","","","",,,,,0,0.00,0,5,1,"… stating that vaporous hydrogen peroxide (VHP), ultraviolet germicidal irradiation (UVGI), and moist … by the Occupational Health Services (OHS) in the hospital with decontaminated respirators according to … 2 for new 3M 1860 FFRs after different decontamination treatments were …"
0,"S Narla, AB Lyons, I Kohli, AE Torres…","The Importance of the Minimum Dosage Necessary for UVC Decontamination of N95 Respirators during the COVID‐19 Pandemic",2020,"Photodermatology …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/phpp.12562","",28,"2020-05-22 20:04:38","","","","",,,,,0,0.00,0,5,1,"… needed to decontaminate circular coupons prepared from 3M 1870 N95 filtering facepiece respirators … Rupp, ME N95 Filtering Facepiece Respirator Ultraviolet Germicidal Irradiation (UVGI) … 7. Prevention CfDCa. Decontamination and Reuse of Filtering Facepiece Respirators …"
5,"KJ Card, D Crozier, A Dhawan, M Dinh, E Dolson…","UV sterilization of personal protective equipment with idle laboratory biosafety cabinets during the Covid-19 pandemic",2020,"medRxiv","medrxiv.org","https://www.medrxiv.org/content/10.1101/2020.03.25.20043489v2.abstract","https://scholar.google.com/scholar?cites=14630270152988259040&as_sdt=2005&sciodt=0,5&hl=en",29,"2020-05-22 20:04:38","","","","",,,,,5,5.00,1,6,1,"… this value, 9.4 hours per side would be required to decontaminate each mask … Shaffer, RE A method to determine the available uv-c dose for the decontamination of filtering … 9. Kowalski, W. Ultraviolet germicidal irradiation handbook: UVGI for air and surface disinfection (Springer …"
1,"DJ Zorko, S Gertsman, K O'Hearn, N Timmerman…","Decontamination Interventions for the Reuse of Surgical Mask Personal Protective Equipment: A Systematic Review",2020,"","osf.io","https://osf.io/preprints/z7exu/","https://scholar.google.com/scholar?cites=15492684345292171301&as_sdt=2005&sciodt=0,5&hl=en",30,"2020-05-22 20:04:38","","","","",,,,,1,1.00,0,5,1,"… decontaminate, sterilize or treat surgical masks (applied either before or after their use) for … Decontaminating N95 masks with Ultraviolet Germicidal Irradiation (UVGI) does not impair mask efficacy … N95 Mask Decontamination using Standard Hospital Sterilization Technologies …"
0,"J Grossman, A Pierce, J Mody, J Gagne…","Institution of a Novel Process for N95 Respirator Disinfection with Vaporized Hydrogen Peroxide in the setting of the COVID-19 Pandemic at a Large Academic …",2020,"Journal of the American …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1072751520303495","",31,"2020-05-22 20:04:38","","","","",,,,,0,0.00,0,5,1,"… 6 Lowe, JJ N95 Filtering Facemask Respirator Ultraviolet Germicidal Irradiation (UVGI) Process for Decontamination and Reuse … et al.A pandemic influenza preparedness study: Use of energetic methods to decontaminate filtering facepiece respirators contaminated with …"
0,"MS Martella, A Ross, C Le","Contract number: HHSF223201400158C Title: Research to Mitigate a Shortage of Respiratory Protection Devices During Public Health Emergencies Report for …",2019,"","ara.com","https://www.ara.com/sites/default/files/MitigateShortageofRespiratoryProtectionDevices.pdf","",32,"2020-05-22 20:04:38","PDF","","","",,,,,0,0.00,0,3,1,"… A combination of the WMH and UVGI could also be developed, if needed, as it is our goal to mature this technology to provide … If the decontamination process can disinfect in the presence of other organic material, then the goal of producing a decontaminated device will …"
0,"J Brickman, C MS, BS Chatoma Scott, C Courtad…","Optimization, Validation, and Implementation of a UV Disinfection Method for N95 Face Masks",2020,"","n95decon.org","https://www.n95decon.org/s/UCMC-Surfacide-Mask-UVGI-Process-Validation-and-Process-v6.pdf","",33,"2020-05-22 20:04:38","PDF","","","",,,,,0,0.00,0,5,1,"… each mask and place a green sticker on each to indicate disinfection has been … 2. N95DECON A scientific consortium for data-driven study of N95 filter facepiece respirator decontamination … Nwoko, J.; Mead, K.; Noti, J., Effects of Ultraviolet Germicidal Irradiation (UVGI) on N95 …"
0,"M Loh, R Clark, JW Cherrie","Heat treatment for reuse of disposable respirators during Covid-19 pandemic: Is filtration and fit adversely affected?",2020,"medRxiv","medrxiv.org","https://www.medrxiv.org/content/10.1101/2020.04.22.20074989v1.abstract","",34,"2020-05-22 20:04:38","","","","",,,,,0,0.00,0,3,1,"… 2011. A pandemic influenza preparedness study: use of energetic methods to decontaminate 165 … Effects of Ultraviolet Germicidal Irradiation (UVGI) on N95 Respirator Filtration 169 … decontamination treatments against influenza virus applied to filtering facepiece respirators. 173 …"
0,"I Lede, K Nolte, R Kroes","A Scalable Method for Ultraviolet C Disinfection of Surgical Facemasks Type IIR and Filtering Facepiece Particle Respirators 1 and 2",2020,"","racura.com","https://racura.com/onewebmedia/Manuscript%20UV-C%20disinfection%20of%20FFP%20masks_V2.pdf","",35,"2020-05-22 20:04:38","PDF","","","",,,,,0,0.00,0,3,1,"… In this paper we substantiate ultraviolet C (UVC) decontamination and reuse of surgical IIR facemasks, FFP1- and FFP2 respirators as a scalable … Disinfection of High Touch Surfaces in Hospital Critical Areas … Effects of Ultraviolet Germicidal Irradiation (UVGI) on N95 …"
0,"A Baluja, J Arines, R Vilanova, C Bao-Varela…","UV light dosage distribution over irregular respirator surfaces. Methods and implications for safety",2020,"medRxiv","medrxiv.org","https://www.medrxiv.org/content/medrxiv/early/2020/04/16/2020.04.07.20057224.full.pdf","",36,"2020-05-22 20:04:38","PDF","","","",,,,,0,0.00,0,5,1,"… preparedness study: Use of energetic methods to decontaminate filtering facepiece respirators contaminated with … Impact of three biological decontamination methods on filtering facepiece respirator … Effects of Ultraviolet Germicidal Irradiation (UVGI) on N95 Respirator Filtration …"
0,"I Boškoski, C Gallo, MB Wallace…","COVID-19 pandemic and personal protective equipment shortage: protective efficacy comparing masks and scientific methods for respirator reuse",2020,"Gastrointestinal …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016510720342474","",37,"2020-05-22 20:04:38","","","","",,,,,0,0.00,0,4,1,"… A further possible strategy to face PPE shortage is to reuse them following a proper biological decontamination process. The UVGI method proved to be a valid alternative to decontaminate N95 respirators, but it requires careful consideration of the type of respirator and of …"
0,"A Kharbat, A Mizer, M Zumwalt","Decontamination methods of personal protective equipment for repeated utilization in medical/surgical settings",2020,"… Respiratory and Critical …","pulmonarychronicles.com","https://pulmonarychronicles.com/index.php/pulmonarychronicles/article/view/677","",38,"2020-05-22 20:04:38","","","","",,,,,0,0.00,0,3,1,"… A protocol was recently developed by the Nebraska Medicine group utilizing UVGI to decontaminate used N95 … Figure 1. Set-Up for UVGI decontamination … 33 Decontamination Methods of Personal Protective Equipment for Repeated Utilization in Medical/Surgical Settings …"
0,"DJ Perkins, S Villescas, TH Wu…","COVID-19 global pandemic planning: Decontamination and reuse processes for N95 respirators",2020,"Experimental …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1535370220925768","",39,"2020-05-22 20:04:38","","","","",,,,,0,0.00,0,4,1,"… COVID-19 global pandemic planning: Decontamination and reuse processes for N95 respirators. Douglas J Perkins, Steven Villescas, Terry H Wu, Timothy Muller, Steven Bradfute, Ivy Hurwitz, Qiuying Cheng, Hannah Wilcox, Myissa Weiss, Chris Bartlett, Jens Langsjoen, and …"
3,"DR Rottach, Z Lei","Stockpiled N95 filtering facepiece respirator polyisoprene strap performance",2017,"… International Society for Respiratory Protection","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6198819/","https://scholar.google.com/scholar?cites=12319911607972887106&as_sdt=2005&sciodt=0,5&hl=en",40,"2020-05-22 20:04:38","HTML","","","",,,,,3,1.00,2,2,3,"… The effect of ultraviolet decontamination techniques on the breaking strength of straps was … Effects of ultraviolet germicidal irradiation (uvgi) on N95 respirator filtration performance and … Flat fold and cup-shaped N95 filtering facepiece respirator face seal area and pressure …"
1,"A Kumar, SB Kasloff, A Leung, T Cutts, JE Strong…","N95 Mask Decontamination using Standard Hospital Sterilization Technologies",2020,"medRxiv","medrxiv.org","https://www.medrxiv.org/content/medrxiv/early/2020/04/20/2020.04.05.20049346.full.pdf","https://scholar.google.com/scholar?cites=5177146768962000863&as_sdt=2005&sciodt=0,5&hl=en",41,"2020-05-22 20:04:38","PDF","","","",,,,,1,1.00,0,6,1,"… Peracetic acid dry fogging, VHP and autoclaving can be used to decontaminate N95 masks through multiple cycles without loss of function … 4. Lowe, JJ, et al., N95 filtering facemask respirator ultraviolet germicidal irridation (uvgi) process for decontamination and reuse …"
0,"ITG Cabaluna, AF Melicor","What are the effective methods of decontaminating N95 mask for reuse?",2020,"Acta Medica …","actamedicaphilippina.upm.edu.ph","https://actamedicaphilippina.upm.edu.ph/index.php/acta/article/view/1564","",42,"2020-05-22 20:04:38","CITATION","","","",,,,,0,0.00,0,2,1,"… What are the effective methods of decontaminating N95 mask for reuse … Based on laboratory-based studies, ultraviolet germicidal irradiation (UVGI), microwave generated steam, warm … No studies in humans were found comparing effectiveness of N95 post-decontamination …"
72,"World Health Organization","Rational use of personal protective equipment for coronavirus disease (‎‎ COVID-19)‎‎ and considerations during severe shortages: interim guidance, 6 April 2020",2020,"","apps.who.int","https://apps.who.int/iris/bitstream/handle/10665/331695/WHO-2019-nCov-IPC_PPE_use-2020.3-ara.pdf","https://scholar.google.com/scholar?cites=17080042011727142088&as_sdt=2005&sciodt=0,5&hl=en",43,"2020-05-22 20:04:38","PDF","","","",,,,,72,72.00,72,1,1,"… and gowns, as well as items for specific procedures- filtering facepiece respirators (ie N95 … are designed to be reusable, hence their compatibility with decontamination methods; this … Normally, for any reprocessing methods, cleaning before disinfection and sterilization is required …"
1,"M Niemandt","Use and fit of filtering facepiece respirators in a department of anaesthesiology",2018,"","wiredspace.wits.ac.za","http://wiredspace.wits.ac.za/handle/10539/25450","https://scholar.google.com/scholar?cites=6244566486356538258&as_sdt=2005&sciodt=0,5&hl=en",44,"2020-05-22 20:04:38","","","","",,,,,1,0.50,1,1,2,"… TB: Tuberculosis TST: Tuberculin skin test UVGI: Ultraviolet germicidal irradiation USA: United States of America … (31) Table 1.1 Classification according to the type of filter (31) Filter Oil resistance Efficiency rating … Page 21. 9 Figure 1.1 A filtering facepiece respirator (33) …"
1,"KE Zulauf, AB Green, ANN Ba, T Jagdish, D Reif…","Microwave-Generated Steam Decontamination of N95 Respirators Utilizing Universally Accessible Materials",2020,"medRxiv","medrxiv.org","https://www.medrxiv.org/content/10.1101/2020.04.22.20076117v1.abstract","https://scholar.google.com/scholar?cites=15797247596294535732&as_sdt=2005&sciodt=0,5&hl=en",45,"2020-05-22 20:04:38","","","","",,,,,1,1.00,0,6,1,"… germicidal Irradiation (UVGI), ethylene oxide, vaporized hydrogen peroxide, moist heat 56 … 106 To accurately assess the ability of this method to decontaminate all areas of an N95, we 107 … 135 Since it is essential that any decontamination method not reduce the filtration or 136 …"
0,"JC Rubio-Romero, M del Carmen Pardo-Ferreira…","Disposable masks: Disinfection and sterilization for reuse, and non-certified manufacturing, in the face of shortages during the COVID-19 pandemic",2020,"Safety Science","Elsevier","https://www.sciencedirect.com/science/article/pii/S0925753520302277","",46,"2020-05-22 20:04:38","","","","",,,,,0,0.00,0,3,1,"… as it is a dry virucidal, and that it reaches shadows and crevices in the process disinfection, unlike ultraviolet … have developed a systematic review on the efficacy and safety of FFP respirators(N95) after decontamination with ultraviolet germicidal irradiation (UVGI) …"
