PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31576041","Face masks could raise pollution risks","Huang W, Morawska L.","Nature. 2019 Oct;574(7776):29-30. doi: 10.1038/d41586-019-02938-1.","Huang W","Nature","2019","2019/10/03","","","10.1038/d41586-019-02938-1"
"29779694","The effectiveness of respiratory protection worn by communities to protect from volcanic ash inhalation. Part I: Filtration efficiency tests","Mueller W, Horwell CJ, Apsley A, Steinle S, McPherson S, Cherrie JW, Galea KS.","Int J Hyg Environ Health. 2018 Jul;221(6):967-976. doi: 10.1016/j.ijheh.2018.03.012. Epub 2018 Apr 22.","Mueller W","Int J Hyg Environ Health","2018","2018/05/22","","","10.1016/j.ijheh.2018.03.012"
"32246849","Personal protective equipment during the coronavirus disease (COVID) 2019 pandemic - a narrative review","Cook TM.","Anaesthesia. 2020 Apr 4. doi: 10.1111/anae.15071. Online ahead of print.","Cook TM","Anaesthesia","2020","2020/04/05","","","10.1111/anae.15071"
"32214626","Determining the filtration efficiency of half-face medical protection mask (N99) against viral aerosol","Wen Z, Lu J, Li J, Li N, Zhao J, Wang J, Yu L, Yang W.","Aerobiologia (Bologna). 2010;26(3):245-251. doi: 10.1007/s10453-010-9160-4. Epub 2010 Apr 13.","Wen Z","Aerobiologia (Bologna)","2010","2020/03/28","PMC7087622","","10.1007/s10453-010-9160-4"
"31159777","Contamination by respiratory viruses on outer surface of medical masks used by hospital healthcare workers","Chughtai AA, Stelzer-Braid S, Rawlinson W, Pontivivo G, Wang Q, Pan Y, Zhang D, Zhang Y, Li L, MacIntyre CR.","BMC Infect Dis. 2019 Jun 3;19(1):491. doi: 10.1186/s12879-019-4109-x.","Chughtai AA","BMC Infect Dis","2019","2019/06/05","PMC6547584","","10.1186/s12879-019-4109-x"
"29377360","Evaluation of Serum Symmetric Dimethylarginine Concentration as a Marker for Masked Chronic Kidney Disease in Cats With Hyperthyroidism","Peterson ME, Varela FV, Rishniw M, Polzin DJ.","J Vet Intern Med. 2018 Jan;32(1):295-304. doi: 10.1111/jvim.15036.","Peterson ME","J Vet Intern Med","2018","2018/01/30","PMC5787157","","10.1111/jvim.15036"
"29023492","Filter quality of electret masks in filtering 14.6-594 nm aerosol particles: Effects of five decontamination methods","Lin TH, Chen CC, Huang SH, Kuo CW, Lai CY, Lin WY.","PLoS One. 2017 Oct 12;12(10):e0186217. doi: 10.1371/journal.pone.0186217. eCollection 2017.","Lin TH","PLoS One","2017","2017/10/13","PMC5638397","","10.1371/journal.pone.0186217"
"29394045","Self-Powered Electrostatic Adsorption Face Mask Based on a Triboelectric Nanogenerator","Liu G, Nie J, Han C, Jiang T, Yang Z, Pang Y, Xu L, Guo T, Bu T, Zhang C, Wang ZL.","ACS Appl Mater Interfaces. 2018 Feb 28;10(8):7126-7133. doi: 10.1021/acsami.7b18732. Epub 2018 Feb 16.","Liu G","ACS Appl Mater Interfaces","2018","2018/02/03","","","10.1021/acsami.7b18732"
"30035033","Surgical masks as source of bacterial contamination during operative procedures","Zhiqing L, Yongyun C, Wenxiang C, Mengning Y, Yuanqing M, Zhenan Z, Haishan W, Jie Z, Kerong D, Huiwu L, Fengxiang L, Zanjing Z.","J Orthop Translat. 2018 Jun 27;14:57-62. doi: 10.1016/j.jot.2018.06.002. eCollection 2018 Jul.","Zhiqing L","J Orthop Translat","2018","2018/07/24","PMC6037910","","10.1016/j.jot.2018.06.002"
"29632130","Effectiveness of face masks used to protect Beijing residents against particulate air pollution","Cherrie JW, Apsley A, Cowie H, Steinle S, Mueller W, Lin C, Horwell CJ, Sleeuwenhoek A, Loh M.","Occup Environ Med. 2018 Jun;75(6):446-452. doi: 10.1136/oemed-2017-104765. Epub 2018 Apr 9.","Cherrie JW","Occup Environ Med","2018","2018/04/11","PMC5969371","","10.1136/oemed-2017-104765"
"19422946","The surgical mask: are new tests relevant for OR practice?","Belkin NL.","AORN J. 2009 May;89(5):883-91. doi: 10.1016/j.aorn.2008.09.016.","Belkin NL","AORN J","2009","2009/05/09","","","10.1016/j.aorn.2008.09.016"
"29861400","The effectiveness of respiratory protection worn by communities to protect from volcanic ash inhalation. Part II: Total inward leakage tests","Steinle S, Sleeuwenhoek A, Mueller W, Horwell CJ, Apsley A, Davis A, Cherrie JW, Galea KS.","Int J Hyg Environ Health. 2018 Jul;221(6):977-984. doi: 10.1016/j.ijheh.2018.03.011. Epub 2018 Mar 28.","Steinle S","Int J Hyg Environ Health","2018","2018/06/05","","","10.1016/j.ijheh.2018.03.011"
"28051158","Universal and reusable virus deactivation system for respiratory protection","Quan FS, Rubino I, Lee SH, Koch B, Choi HJ.","Sci Rep. 2017 Jan 4;7:39956. doi: 10.1038/srep39956.","Quan FS","Sci Rep","2017","2017/01/05","PMC5209731","","10.1038/srep39956"
"28281466","Filtration-guided assembly for patterning one-dimensional nanostructures","Zhang Y, Wang C, Yeom J.","Nanotechnology. 2017 Apr 7;28(14):145302. doi: 10.1088/1361-6528/aa604d. Epub 2017 Mar 10.","Zhang Y","Nanotechnology","2017","2017/03/11","","","10.1088/1361-6528/aa604d"
"32203757","Policies on the use of respiratory protection for hospital health workers to protect from coronavirus disease (COVID-19)","Chughtai AA, Seale H, Islam MS, Owais M, Macintyre CR.","Int J Nurs Stud. 2020 May;105:103567. doi: 10.1016/j.ijnurstu.2020.103567. Epub 2020 Mar 13.","Chughtai AA","Int J Nurs Stud","2020","2020/03/24","PMC7174826","","10.1016/j.ijnurstu.2020.103567"
"27754781","Quantification of leakage of sub-micron aerosols through surgical masks and facemasks for pediatric use","Guha S, McCaffrey B, Hariharan P, Myers MR.","J Occup Environ Hyg. 2017 Mar;14(3):214-223. doi: 10.1080/15459624.2016.1237029.","Guha S","J Occup Environ Hyg","2017","2016/10/19","","","10.1080/15459624.2016.1237029"
"32271461","COVID-19: emerging protective measures","Balachandar V, Mahalaxmi I, Kaavya J, Vivekanandhan G, Ajithkumar S, Arul N, Singaravelu G, Senthil Kumar N, Mohana Dev S.","Eur Rev Med Pharmacol Sci. 2020 Mar;24(6):3422-3425. doi: 10.26355/eurrev_202003_20713.","Balachandar V","Eur Rev Med Pharmacol Sci","2020","2020/04/10","","","10.26355/eurrev_202003_20713"
"28807063","Performance of a Novel Non-Fit-Tested HEPA Filtering Face Mask","Hui CYT, Leung CCH, Gomersall CD.","Infect Control Hosp Epidemiol. 2017 Oct;38(10):1260-1261. doi: 10.1017/ice.2017.105. Epub 2017 Aug 15.","Hui CYT","Infect Control Hosp Epidemiol","2017","2017/08/16","","","10.1017/ice.2017.105"
"31258787","Awareness of surgical smoke hazards and enhancement of surgical smoke prevention among the gynecologists","Liu Y, Song Y, Hu X, Yan L, Zhu X.","J Cancer. 2019 Jun 2;10(12):2788-2799. doi: 10.7150/jca.31464. eCollection 2019.","Liu Y","J Cancer","2019","2019/07/02","PMC6584931","","10.7150/jca.31464"
"23074468","Air cleaning technologies: an evidence-based analysis","Medical Advisory Secretariat.","Ont Health Technol Assess Ser. 2005;5(17):1-52. Epub 2005 Nov 1.","Medical Advisory Secretariat","Ont Health Technol Assess Ser","2005","2012/10/18","PMC3382390","",""
"28855449","Effect of the tight fitting net on fit performance in single-use filtering facepieces for Koreans","Han DH, Park Y, Woo JJ.","Ind Health. 2018 Feb 7;56(1):78-84. doi: 10.2486/indhealth.2017-0069. Epub 2017 Aug 31.","Han DH","Ind Health","2018","2017/09/01","PMC5800868","","10.2486/indhealth.2017-0069"
"21767867","Mitigation of radon and thoron decay products by filtration","Wang J, Meisenberg O, Chen Y, Karg E, Tschiersch J.","Sci Total Environ. 2011 Sep 1;409(19):3613-9. doi: 10.1016/j.scitotenv.2011.06.030. Epub 2011 Jul 20.","Wang J","Sci Total Environ","2011","2011/07/20","","","10.1016/j.scitotenv.2011.06.030"
"29404772","Imaging prediction of nonalcoholic steatohepatitis using computed tomography texture analysis","Naganawa S, Enooku K, Tateishi R, Akai H, Yasaka K, Shibahara J, Ushiku T, Abe O, Ohtomo K, Kiryu S.","Eur Radiol. 2018 Jul;28(7):3050-3058. doi: 10.1007/s00330-017-5270-5. Epub 2018 Feb 5.","Naganawa S","Eur Radiol","2018","2018/02/07","","","10.1007/s00330-017-5270-5"
"23531312","Proper use of surgical n95 respirators and surgical masks in the OR","Benson SM, Novak DA, Ogg MJ.","AORN J. 2013 Apr;97(4):457-67; quiz 468-70. doi: 10.1016/j.aorn.2013.01.015.","Benson SM","AORN J","2013","2013/03/28","PMC7105909","","10.1016/j.aorn.2013.01.015"
"30366426","Short Communication: Health Interventions in Volcanic Eruptions-Community Wearability Assessment of Respiratory Protection against Volcanic Ash from Mt Sinabung, Indonesia","Galea KS, Covey J, Mutia Timur S, Horwell CJ, Nugroho F, Mueller W.","Int J Environ Res Public Health. 2018 Oct 25;15(11):2359. doi: 10.3390/ijerph15112359.","Galea KS","Int J Environ Res Public Health","2018","2018/10/28","PMC6266167","","10.3390/ijerph15112359"
"24737728","Respiratory source control using surgical masks with nanofiber media","Skaria SD, Smaldone GC.","Ann Occup Hyg. 2014 Jul;58(6):771-81. doi: 10.1093/annhyg/meu023. Epub 2014 Apr 15.","Skaria SD","Ann Occup Hyg","2014","2014/04/17","PMC4090760","","10.1093/annhyg/meu023"
"27462262","The Effect of a Diving Mask on Intraocular Pressure in a Healthy Population","Goenadi CJ, Law DZ, Lee JW, Ong EL, Chee WK, Cheng J.","Case Rep Ophthalmol. 2016 Jun 13;7(2):328-32. doi: 10.1159/000446423. eCollection 2016 May-Aug.","Goenadi CJ","Case Rep Ophthalmol","2016","2016/07/28","PMC4943308","","10.1159/000446423"
"16997675","Modified N95 mask delivers high inspired oxygen concentrations while effectively filtering aerosolized microparticles","Mardimae A, Slessarev M, Han J, Sasano H, Sasano N, Azami T, Fedorko L, Savage T, Fowler R, Fisher JA.","Ann Emerg Med. 2006 Oct;48(4):391-9, 399.e1-2. doi: 10.1016/j.annemergmed.2006.06.039.","Mardimae A","Ann Emerg Med","2006","2006/09/26","PMC7118976","","10.1016/j.annemergmed.2006.06.039"
"30205526","Field Evaluation of N95 Filtering Facepiece Respirators on Construction Jobsites for Protection against Airborne Ultrafine Particles","Adhikari A, Mitra A, Rashidi A, Ekpo I, Schwartz J, Doehling J.","Int J Environ Res Public Health. 2018 Sep 7;15(9):1958. doi: 10.3390/ijerph15091958.","Adhikari A","Int J Environ Res Public Health","2018","2018/09/13","PMC6164087","","10.3390/ijerph15091958"
"28644727","Impact of time and assisted donning on respirator fit","Rembialkowski B, Sietsema M, Brosseau L.","J Occup Environ Hyg. 2017 Sep;14(9):669-673. doi: 10.1080/15459624.2017.1319569.","Rembialkowski B","J Occup Environ Hyg","2017","2017/06/24","","","10.1080/15459624.2017.1319569"
"31545991","Comparing mask fit and usability of traditional and nanofibre N95 filtering facepiece respirators before and after nursing procedures","Suen LKP, Guo YP, Ho SSK, Au-Yeung CH, Lam SC.","J Hosp Infect. 2020 Mar;104(3):336-343. doi: 10.1016/j.jhin.2019.09.014. Epub 2019 Sep 20.","Suen LKP","J Hosp Infect","2020","2019/09/24","","","10.1016/j.jhin.2019.09.014"
"21664003","A controlled crossover human volunteer study of the in vivo filtration efficacy of a high-efficiency particulate air-filtering oxygen mask","Wai JK, Gomersall CD.","Am J Infect Control. 2011 Nov;39(9):782-4. doi: 10.1016/j.ajic.2010.12.015. Epub 2011 Jun 12.","Wai JK","Am J Infect Control","2011","2011/06/14","","","10.1016/j.ajic.2010.12.015"
"28626968","3D Printing All-Aromatic Polyimides using Mask-Projection Stereolithography: Processing the Nonprocessable","Hegde M, Meenakshisundaram V, Chartrain N, Sekhar S, Tafti D, Williams CB, Long TE.","Adv Mater. 2017 Aug;29(31). doi: 10.1002/adma.201701240. Epub 2017 Jun 19.","Hegde M","Adv Mater","2017","2017/06/20","","","10.1002/adma.201701240"
"28650715","Transfer of bacteriophage MS2 and fluorescein from N95 filtering facepiece respirators to hands: Measuring fomite potential","Brady TM, Strauch AL, Almaguer CM, Niezgoda G, Shaffer RE, Yorio PL, Fisher EM.","J Occup Environ Hyg. 2017 Nov;14(11):898-906. doi: 10.1080/15459624.2017.1346799.","Brady TM","J Occup Environ Hyg","2017","2017/06/27","PMC5705010","NIHMS917525","10.1080/15459624.2017.1346799"
"32294813","[Expert consensus on preventing nosocomial transmission during respiratory care for critically ill patients infected by 2019 novel coronavirus pneumonia]","Respiratory Care Committee of Chinese Thoracic Society.","Zhonghua Jie He He Hu Xi Za Zhi. 2020 Apr 12;43(4):288-296. doi: 10.3760/cma.j.cn112147-20200304-00239.","Respiratory Care Committee of Chinese Thoracic Society","Zhonghua Jie He He Hu Xi Za Zhi","2020","2020/04/17","","","10.3760/cma.j.cn112147-20200304-00239"
"30961311","Process Evaluation of the Metal-Organic Frameworks for the Application of Personal Protective Equipment with Filtration Function","Hong Y, Liu C, Cao X, Chen Y, Chen C, Chen Y, Pan Z.","Polymers (Basel). 2018 Dec 14;10(12):1386. doi: 10.3390/polym10121386.","Hong Y","Polymers (Basel)","2018","2019/04/10","PMC6401797","","10.3390/polym10121386"
"29505714","Hot-Pressing Method To Prepare Imidazole-Based Zn(II) Metal-Organic Complexes Coatings for Highly Efficient Air Filtration","Wang A, Fan R, Zhou X, Hao S, Zheng X, Yang Y.","ACS Appl Mater Interfaces. 2018 Mar 21;10(11):9744-9755. doi: 10.1021/acsami.8b01287. Epub 2018 Mar 9.","Wang A","ACS Appl Mater Interfaces","2018","2018/03/06","","","10.1021/acsami.8b01287"
"19276705","Radiological hazard estimates from contaminated C7 canisters on the C4 protective mask","Waller EJ, Erhardt L.","Health Phys. 2009 Apr;96(4):450-5. doi: 10.1097/01.HP.0000338340.60296.5c.","Waller EJ","Health Phys","2009","2009/03/12","","","10.1097/01.HP.0000338340.60296.5c"
"23104683","Penetration of diesel exhaust particles through commercially available dust half masks","Penconek A, Drążyk P, Moskal A.","Ann Occup Hyg. 2013 Apr;57(3):360-73. doi: 10.1093/annhyg/mes074. Epub 2012 Oct 26.","Penconek A","Ann Occup Hyg","2013","2012/10/30","","","10.1093/annhyg/mes074"
"23111789","Microfluidic filtration system to isolate extracellular vesicles from blood","Davies RT, Kim J, Jang SC, Choi EJ, Gho YS, Park J.","Lab Chip. 2012 Dec 21;12(24):5202-10. doi: 10.1039/c2lc41006k.","Davies RT","Lab Chip","2012","2012/11/01","","","10.1039/c2lc41006k"
"27676311","Filter penetration and breathing resistance evaluation of respirators and dust masks","Ramirez J, O'Shaughnessy P.","J Occup Environ Hyg. 2017 Feb;14(2):148-157. doi: 10.1080/15459624.2016.1237027.","Ramirez J","J Occup Environ Hyg","2017","2016/09/28","","","10.1080/15459624.2016.1237027"
"30120972","Artefactual band patterns by SDS-PAGE of the Vip3Af protein in the presence of proteases mask the extremely high stability of this protein","Banyuls N, Hernández-Martínez P, Quan Y, Ferré J.","Int J Biol Macromol. 2018 Dec;120(Pt A):59-65. doi: 10.1016/j.ijbiomac.2018.08.067. Epub 2018 Aug 16.","Banyuls N","Int J Biol Macromol","2018","2018/08/19","","","10.1016/j.ijbiomac.2018.08.067"
"32378254","Filtration efficiency of surgical and FFP3 masks against composite dust","Breul S, Van Landuyt KL, Reichl FX, Högg C, Hoet P, Godderis L, Van Meerbeek B, Cokic SM.","Eur J Oral Sci. 2020 Jun;128(3):233-240. doi: 10.1111/eos.12697. Epub 2020 May 7.","Breul S","Eur J Oral Sci","2020","2020/05/08","","","10.1111/eos.12697"
"27362358","Speech intelligibility assessment of protective facemasks and air-purifying respirators","Palmiero AJ, Symons D, Morgan JW 3rd, Shaffer RE.","J Occup Environ Hyg. 2016 Dec;13(12):960-968. doi: 10.1080/15459624.2016.1200723.","Palmiero AJ","J Occup Environ Hyg","2016","2016/07/01","PMC5065390","NIHMS816177","10.1080/15459624.2016.1200723"
"25446514","Antiviral effects of polyphenols: development of bio-based cleaning wipes and filters","Catel-Ferreira M, Tnani H, Hellio C, Cosette P, Lebrun L.","J Virol Methods. 2015 Feb;212:1-7. doi: 10.1016/j.jviromet.2014.10.008. Epub 2014 Oct 26.","Catel-Ferreira M","J Virol Methods","2015","2014/12/03","","","10.1016/j.jviromet.2014.10.008"
"18717663","Evaluation of bag-valve-mask ventilation in simulated toxic environments","Brinker A, Stratling WM, Schumacher J.","Anaesthesia. 2008 Nov;63(11):1234-7. doi: 10.1111/j.1365-2044.2008.05579.x. Epub 2008 Aug 19.","Brinker A","Anaesthesia","2008","2008/08/23","","","10.1111/j.1365-2044.2008.05579.x"
"2021231","Filtration efficiency of surgical face masks: the need for more meaningful standards","Davis WT.","Am J Infect Control. 1991 Feb;19(1):16-8. doi: 10.1016/0196-6553(91)90156-7.","Davis WT","Am J Infect Control","1991","1991/02/01","","","10.1016/0196-6553(91)90156-7"
"30615832","Reusable Polybenzimidazole Nanofiber Membrane Filter for Highly Breathable PM(2.5) Dust Proof Mask","Lee S, Cho AR, Park D, Kim JK, Han KS, Yoon IJ, Lee MH, Nah J.","ACS Appl Mater Interfaces. 2019 Jan 23;11(3):2750-2757. doi: 10.1021/acsami.8b19741. Epub 2019 Jan 9.","Lee S","ACS Appl Mater Interfaces","2019","2019/01/08","","","10.1021/acsami.8b19741"
"5245839","Filtration efficiency of surgical masks: a new method of evaluation","Rubbo SD, Abbott LR.","Aust N Z J Surg. 1968 Aug;38(1):80-3.","Rubbo SD","Aust N Z J Surg","1968","1968/08/01","","",""
"23984654","N95-companion measurement of cout/cin ratios for two n95 filtering facepiece respirators and one surgical mask","Rengasamy S, Eimer BC.","J Occup Environ Hyg. 2013;10(10):527-32. doi: 10.1080/15459624.2013.818224.","Rengasamy S","J Occup Environ Hyg","2013","2013/08/30","","","10.1080/15459624.2013.818224"
"28585893","Performance of two respiratory protective devices used by home-attending health care workers (a pilot study)","Elmashae RBY, Grinshpun SA, Reponen T, Yermakov M, Riddle R.","J Occup Environ Hyg. 2017 Sep;14(9):D145-D149. doi: 10.1080/15459624.2017.1319571.","Elmashae RBY","J Occup Environ Hyg","2017","2017/06/07","PMC6748322","NIHMS1050330","10.1080/15459624.2017.1319571"
"32432461","Flexible Nanoporous Template for the Design and Development of Reusable Anti-COVID-19 Hydrophobic Face Masks","El-Atab N, Qaiser N, Badghaish H, Shaikh SF, Hussain MM.","ACS Nano. 2020 May 22. doi: 10.1021/acsnano.0c03976. Online ahead of print.","El-Atab N","ACS Nano","2020","2020/05/21","","","10.1021/acsnano.0c03976"
"27190072","Efficiency of Respirator Filter Media against Diesel Particulate Matter: A Comparison Study Using Two Diesel Particulate Sources","Burton KA, Whitelaw JL, Jones AL, Davies B.","Ann Occup Hyg. 2016 Jul;60(6):771-9. doi: 10.1093/annhyg/mew026. Epub 2016 May 17.","Burton KA","Ann Occup Hyg","2016","2016/05/19","","","10.1093/annhyg/mew026"
"30328235","An Iron-Containing Metal-Organic Framework as a Highly Efficient Catalyst for Ozone Decomposition","Wang H, Rassu P, Wang X, Li H, Wang X, Wang X, Feng X, Yin A, Li P, Jin X, Chen SL, Ma X, Wang B.","Angew Chem Int Ed Engl. 2018 Dec 10;57(50):16416-16420. doi: 10.1002/anie.201810268. Epub 2018 Nov 14.","Wang H","Angew Chem Int Ed Engl","2018","2018/10/18","","","10.1002/anie.201810268"
"29265212","Filtration Efficiency of Surgical Masks: A New Method of Evaluation","Rubbo SD, Abbott LR.","Aust N Z J Surg. 1971 Aug;38(1):80-83. doi: 10.1111/j.1445-2197.1971.tb05174.x.","Rubbo SD","Aust N Z J Surg","1971","2017/12/22","","","10.1111/j.1445-2197.1971.tb05174.x"
"28540803","Thermophysiological response of Newton manikin equipped with power-assisted filtering device incorporating a full-face mask in hot environment","Del Ferraro S, Tombolini F, Plebani C, Molinaro V.","Int J Hyperthermia. 2017 Nov;33(7):717-723. doi: 10.1080/02656736.2017.1316874. Epub 2017 Apr 24.","Del Ferraro S","Int J Hyperthermia","2017","2017/05/26","","","10.1080/02656736.2017.1316874"
"16920222","Protecting staff against airborne viral particles: in vivo efficiency of laser masks","Derrick JL, Li PT, Tang SP, Gomersall CD.","J Hosp Infect. 2006 Nov;64(3):278-81. doi: 10.1016/j.jhin.2006.06.021. Epub 2006 Aug 21.","Derrick JL","J Hosp Infect","2006","2006/08/22","","","10.1016/j.jhin.2006.06.021"
"26011754","Effect of Pregnancy Upon Facial Anthropometrics and Respirator Fit Testing","Roberge RJ, Kim JH, Palmiero A, Powell JB.","J Occup Environ Hyg. 2015;12(11):761-6. doi: 10.1080/15459624.2015.1049269.","Roberge RJ","J Occup Environ Hyg","2015","2015/05/27","PMC4725300","NIHMS752225","10.1080/15459624.2015.1049269"
"25733013","Robust Skull-Stripping Segmentation Based on Irrational Mask for Magnetic Resonance Brain Images","Moldovanu S, Moraru L, Biswas A.","J Digit Imaging. 2015 Dec;28(6):738-47. doi: 10.1007/s10278-015-9776-6.","Moldovanu S","J Digit Imaging","2015","2015/03/04","PMC4636724","","10.1007/s10278-015-9776-6"
"26904254","Interventions to reduce individual exposure of elderly individuals and children to haze: a review","Zhang S, Li L, Gao W, Wang Y, Yao X.","J Thorac Dis. 2016 Jan;8(1):E62-8. doi: 10.3978/j.issn.2072-1439.2016.01.17.","Zhang S","J Thorac Dis","2016","2016/02/24","PMC4740117","","10.3978/j.issn.2072-1439.2016.01.17"
